rank,read_tier,title,year,authors,venue,doi,url,cited_by_count,source_query,concepts,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,relevance_score,hostile_reason,abstract
572,landscape_sweep,Trajectory planning and control for robot manipulations,,Ran Zhao,,10.70675/55703f74z3fbcz45b3zb200z920e11ff2c8e,https://doi.org/10.70675/55703f74z3fbcz45b3zb200z920e11ff2c8e,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,"<jats:title>Planification et contrôle de trajectoire pour robot manipulation</jats:title> <jats:p xml:lang=""fr"">Comme les robots effectuent de plus en plus de tâches en interaction avec l'homme ou dans un environnement humain, ils doivent assurer la sécurité et le confort des hommes. Dans ce contexte, le robot doit adapter son comportement et agir en fonction des évolutions de l'environnement et des activités humaines. Les robots développés sur la base de l'apprentissage ou d'un planificateur de mouvement ne sont pas en mesure de réagir assez rapidement, c'est pourquoi nous proposons d'introduire un contrôleur de trajectoire intermédiaire dans l'architecture logicielle entre le contrôleur bas niveau et le planificateur de plus haut niveau. Le contrôleur de trajectoire que nous proposons est basé sur le concept de générateur de trajectoire en ligne (OTG), il permet de calculer des trajectoires en temps réel et facilite la communication entre les différents éléments, en particulier le planificateur de chemin, le générateur de trajectoire, le détecteur de collision et le contrôleur. Pour éviter de replanifier toute une trajectoire en réaction à un changement induit par un humain, notre contrôleur autorise la déformation locale de la trajectoire et la modification de la loi d'évolution pour accélérer ou décélérer le mouvement. Le contrôleur de trajectoire peut également commuter de la trajectoire initiale vers une nouvelle trajectoire. Les fonctions polynomiales cubiques que nous utilisons pour décrire les trajectoires fournissent des mouvements souples et de la flexibilité sans nécessiter de calculs complexes. De plus, les algorithmes de lissage que nous proposons permettent de produire des mouvements esthétiques ressemblants à ceux des humains. Ce travail, mené dans le cadre du projet ANR ICARO, a été intégré et validé avec les robots KUKA LWR de la plate-forme robotique du LAAS-CNRS.</jats:p>"
573,landscape_sweep,Motion planning and control simulation for robot assisted femur fracture reduction,,Song Wang,,10.5353/th_b4516138,https://doi.org/10.5353/th_b4516138,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
574,landscape_sweep,Distributed approaches to motion planning and control in multi-robot systems,,Yuan Zhou,,10.32657/10220/48184,https://doi.org/10.32657/10220/48184,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
575,landscape_sweep,Research on mechanism design and motion planning of a modular self-reconfigurable robot,,Liang Zhang; Jie Zhao; Hegao Cai,Fifth World Congress on Intelligent Control and Automation (IEEE Cat. No.04EX788),10.1109/wcica.2004.1343626,https://doi.org/10.1109/wcica.2004.1343626,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
576,landscape_sweep,Planning robotic in-hand manipulation to reproduce skilled dexterous manipulation tasks,,Ali Hammoud,,10.70675/bf4f1352z2fddz454cz8f3ezebb41418497e,https://doi.org/10.70675/bf4f1352z2fddz454cz8f3ezebb41418497e,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,training variation covers deployment mismatch,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,"<jats:title>Planification de la manipulation robotique à la main pour reproduire des tâches de manipulation fines</jats:title> <jats:p xml:lang=""fr"">Les humains manipulent des objets et des tâches quotidiennes, apprennent de nouvelles compétences et s'adaptent à de nouveaux environnements. Il s'agit d'une connaissance essentielle pour survivre. Notre capacité à manipuler des objets dans nos mains résulte d'un apprentissage par l'observation d'autres mouvements humains, et d'essais et d'erreurs dans la manipulation d'objets. Les robots peuvent remplacer les humains dans des tâches qui pourraient leur nuire. Les robots ont été utilisés pour la lutte contre les incendies, la garde des vaches pour assurer la sécurité des travailleurs agricoles. Les robots ont été utilisés pour la lutte contre les incendies, la garde des vaches pour assurer la sécurité des travailleurs agricoles, la collecte et le conditionnement des déchets radioactifs et le nettoyage des sites nucléaires. Toutefois, ils n'ont pas encore été intégrés dans de nombreux domaines où l'homme doit manipuler manuellement des objets, comme dans les environnements chimiques et industriels. Jusqu'à présent, les mains robotiques n'ont pas encore réussi à atteindre un tel niveau de dextérité. Pour que les robots s'imposent dans le monde humain, ils doivent être capables de manipuler divers objets inconnus en maîtrisant leur force, leur finesse et leur subtilité. Le robot doit atteindre la dextérité avec des mains robotiques et la capacité cognitive pour atteindre une telle capacité. En outre, nous devrions avoir un système sans complexité ou significativement réduit, et l'autonomie du robot doit devenir beaucoup plus naturelle. D'un point de vue scientifique, la manipulation robotique est définie comme la manière dont les robots interagissent avec les objets de leur environnement, par exemple en les saisissant, en déplaçant un objet de la position A à la position B, en agissant sur l'environnement de l'objet, en interagissant avec les humains et en utilisant des outils pour accomplir une tâche spécifique. Les robots doivent planifier et planifier et gérer intelligemment les mouvements de leurs mains et de leurs bras pour accomplir ces tâches. Les robots ont réussi à accomplir ces tâches en utilisant des bras robotisés équipés d'effecteurs finaux tels que des pinces et des serre-joints, où les mouvements sont effectués par les bras et les actions finales de saisie de l'objet sont réalisées par l'effecteur final. Cependant, les robots n'ont jamais été en mesure d'atteindre le niveau de dextérité humain. Pour atteindre un tel niveau de dextérité et accomplir des tâches conçues pour l'homme, le robot doit être équipé d'une main anthropomorphique. Les mains anthropomorphes sont conçues pour manipuler un objet dans la main, comme les humains. Elles doivent être capables de manipuler des objets avec dextérité. La manipulation d'objets avec ce type d'effecteur est très complexe et nécessite une grande puissance de calcul car elle comporte de nombreux degrés de liberté. Pour l'instant, la main anthropomorphique n'a pas réussi à se comporter de manière aussi fluide que les mains humaines. Le projet Index a été mis en place pour améliorer la stratégie de la main anthropomorphique dans la manipulation d'objets dans la main afin qu'elle puisse être consolidée dans l'environnement humain.</jats:p>"
577,landscape_sweep,Lamarck’s Revenge,,Jie Luo,,10.5463/thesis.656,https://doi.org/10.5463/thesis.656,0,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,"<jats:p xml:lang=""en"">The field of Evolutionary Robotics (ER) aims to apply evolutionary computation techniques to evolve the overall design, or controllers, or both, of real and simulated autonomous robots. This field dates back to the early 1990s. Unlike classical engineering approaches, based on mathematics and physics, ER is inspired by a less understood mechanism: biological evolution. One of the most enduring controversies in evolutionary biology is \textbf{Lamarckism}, which asserts that adaptations acquired or learned by an individual during its lifetime can be passed onto its offspring \cite{Conway1946}. Although it remains uncertain whether this Lamarckian idea occurs in nature, in the field of artificial intelligence, we have the ability to make it a reality. The main goal of this research was to investigate Lamarckism in evolutionary robotics which presents a rich tapestry of insights into the interplay between learning, evolution, and environments in robotic systems. This discussion aims to synthesize the key findings across these stages and offer a broader perspective on the implications for the field. This PhD research began by scrutinizing the ""Triangle of Life"" framework, with a specific focus on the additional learning loop, to determine its actual impact on the conjoint evolution of the brain and body. Given that Lamarckism inherently involves learning, the initial step involves validating the effectiveness of this supplementary learning loop. The study from the first stage emphasizes the significant advantages of integrating a learning loop into the evolutionary process. Following the confirmation of the learning effects, the subsequent goal was to establish the feasibility of a Lamarckian system. To construct a robust Lamarckian framework, a systematic exploration of various aspects is undertaken. This includes the evaluation of diverse controller and learner combinations, an in-depth investigation into different reproduction methods, and genotype-to-phenotype mapping techniques. After setting up an efficient Lamarckian system, we compared it with a Darwinian system and delved into the reasons why the Lamarckian system is superior. We provided evidence supporting the efficiency and efficacy of Lamarckian evolution and the existence of morphological intelligence. In the last stage, we explored Lamarckism in dynamic environments. To validate the system's efficacy, the experiments extend beyond simulated environments and delve into real-world scenarios. The study highlights the Lamarckian system's effectiveness in dynamic environments, showcasing the tradeoff between adaptability and overfitting. In summary, Lamarckian system emerges as a most complex yet feasible system in evolutionary robotics, validated through thorough exploration. The research contributions, ranging from the theoretical insights within the ""Triangle of Life"" framework to the practical implications, collectively contribute to the advancement of evolutionary robotics. This comprehensive framework holds the promise of evolving robust robots capable of adapting to unpredictable critical environments, thereby having the potential to help humans explore a new universe. The multifaceted exploration undertaken in this PhD research lays the groundwork for continued advancements and innovations in the realm of evolutionary robotics.</jats:p>"
578,landscape_sweep,Motion planning of multi-robot system for airplane stripping,,Rawan Kalawoun,,10.70675/5b1fb7b5z0da1z496bza90fzf6f074118c63,https://doi.org/10.70675/5b1fb7b5z0da1z496bza90fzf6f074118c63,0,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,"<jats:title>Plannification des trajectoires s’un système multi-robot pour faire le décapage des avions</jats:title> <jats:p xml:lang=""fr"">Cette thèse est une partie d’un projet français qui s’appelle AEROSTRIP, un partenariat entre l’Institut Pascal, Sigma, SAPPI et Air-France industries, il est financé par le gouvernement français par le programme FUI (20 eme appel). Le projet AEROSTRIP consiste à développer le premier système automatique qui nettoie écologiquement les surfaces des avions et les pièces de rechange en utilisant un abrasif écologique projeté à grande vitesse sur la surface des avions (maïs). Ma thèse consiste à optimiser les trajectoires du système robotique total de telle façon que le décapage de l’avion soit optimal. Le déplacement des robots est nécessaire pour assurer une couverture totale de la surface à décaper parce que ces surfaces sont trop grandes et elles ne peuvent pas être décapées d’une seule position. Le but de mon travail est de trouver le nombre optimal de robots avec leur positions optimales pour décaper totalement l’avion. Une fois ce nombre est déterminé, on cherche les trajectoires des robots entre ces différentes positions. Alors, pour atteindre ce but, j’ai défini un cadre général composant de quatre étapes essentiels: l’étape pre-processing, l’étape optimization algorithm, l’étape generation of the end-effector trajectories et l’étape robot scheduling, assignment and control.Dans ma thèse, j’ai deux contributions dans deux différentes étapes du cadre général: l’étape pre-processing et l’étape optimization algorithm. Le calcul de l’espace de travail du robot est nécessairedans l’étape pre-processing: on a proposé l’Analyse par Intervalles pour trouver cet espace de travail parce qu’il garantie le fait de trouver des solutions dans un temps de calcul raisonnable. Alors, ma première contribution est une nouvelle fonction d’inclusion qui réduit le pessimisme, la surestimation des solutions qui est le principal inconvénient de l’Analyse par Intervalles. La nouvelle fonction d’inclusion est évaluée sur des problèmes de satisfaction de contraintes et des problèmes d’optimisation des contraintes. En plus, on a proposé un algorithme d’optimisation hybride pour trouver le nombre optimal de robots avec leur positions optimales: c’est notre deuxième contribution qui est dans l’étape optimization algorithm. Pour évaluer l’algorithme d’optimisation, on a testé cet algorithme sur des surfaces régulières, comme un cylindre et un hémisphère, et sur un surface complexe: une voiture.</jats:p>"
579,landscape_sweep,Deformable Voronoi diagrams for robot path planning in dynamic environments,,Tajudeen Badmos,,10.7190/shu-thesis-00418,https://doi.org/10.7190/shu-thesis-00418,0,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,"<jats:p>Path planning for mobile robots is a complex problem. However, it becomes more challenging when it comes to planning paths in dynamic environments. This is because the robot needs to reach an agreement between the need of having efficient and optimal paths and the need to deal with unexpected obstacles. The proposed algorithm for this work is based on two concepts, the Voronoi Diagram used for the environment representation and the Deformation Retracts which are integrated into the system to enable the path planner to deal with the effect of the moving obstacle by deforming the Voronoi Diagram. The fusion of the aforementioned two concepts, Voronoi Diagrams and Deformation Retracts, which are from two related mathematical disciplines (Computational geometry and Algebraic topology), has not yet been considered in robotics applications. The proposed system first extracts the collision-free space by computing a Generalised Voronoi Diagram (GVD) and generates a pre-planned robot path, then the deformation retract is applied on the free space of the Voronoi Diagram created after an interference due to a moving obstacle. The map is deformed, and the initial path is updated to an alternative path if it exists. One important feature of this algorithm is that it is complete because it generates a solution (path) and the dimension of the map has been reduced to one which represents the retracted free space in the environment. This makes the new system applicable to robot navigation in complex environments, and in other research areas such as computer games, virtual reality, and computational geometry to mention but a few. Simulation results of some environments demonstrate the effectiveness of the new algorithm. The findings of this work have shown that Voronoi Diagram and Deformation Retracts Path planning for mobile robots is a complex problem. However, it becomes more challenging when it comes to planning paths in dynamic environments. This is because the robot needs to reach an agreement between the need of having efficient and optimal paths and the need to deal with unexpected obstacles. The proposed algorithm for this work is based on two concepts, the Voronoi Diagram used for the environment representation and the Deformation Retracts which are integrated into the system to enable the path planner to deal with the effect of the moving obstacle by deforming the Voronoi Diagram. The fusion of the aforementioned two concepts, Voronoi Diagrams and Deformation Retracts, which are from two related mathematical disciplines (Computational geometry and Algebraic topology), has not yet been considered in robotics applications. The proposed system first extracts the collision-free space by computing a Generalised Voronoi Diagram (GVD) and generates a pre-planned robot path, then the deformation retract is applied on the free space of the Voronoi Diagram created after an interference due to a moving obstacle. The map is deformed, and the initial path is updated to an alternative path if it exists. One important feature of this algorithm is that it is complete because it generates a solution (path) and the dimension of the map has been reduced to one which represents the retracted free space in the environment. This makes the new system applicable to robot navigation in complex environments, and in other research areas such as computer games, virtual reality, and computational geometry to mention but a few. Simulation results of some environments demonstrate the effectiveness of the new algorithm. The findings of this work have shown that Voronoi Diagram and Deformation Retracts techniques are a good combination for solving path planning problem using Deformable Voronoi Diagram for mobile robot in a dynamic environment.</jats:p>"
580,landscape_sweep,Hypergraph-Based Multi-robot Task and Motion Planning_supp1-3297011.mp4,,James Motes,,10.1109/tro.2023.3297011/mm1,https://doi.org/10.1109/tro.2023.3297011/mm1,0,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
581,landscape_sweep,Task Space Motion Control,,,Springer Tracts in Advanced Robotics,10.1007/3-540-36155-3_2,https://doi.org/10.1007/3-540-36155-3_2,0,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
582,landscape_sweep,ROBOT PATH PLANNING,1993,,World Scientific Series in Robotics and Intelligent Systems,10.1142/9789814360135_0006,https://doi.org/10.1142/9789814360135_0006,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
583,landscape_sweep,CONSTRUCTIVE ROBOT TASK PLANNING,1993,,World Scientific Series in Robotics and Intelligent Systems,10.1142/9789814360135_0005,https://doi.org/10.1142/9789814360135_0005,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
584,landscape_sweep,ROBOT PATH PLANNING IN UNKNOWN ENVIRONMENTS,1993,,World Scientific Series in Robotics and Intelligent Systems,10.1142/9789814360135_0009,https://doi.org/10.1142/9789814360135_0009,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
585,landscape_sweep,088 Efficient elastic robot inverse dynamics algorithm using PC-based symbolic manipulation,1994,,Control Engineering Practice,10.1016/0967-0661(94)90440-5,https://doi.org/10.1016/0967-0661(94)90440-5,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
586,landscape_sweep,144 Intelligent motion planning and control for robot arms,1994,,Control Engineering Practice,10.1016/0967-0661(94)90496-0,https://doi.org/10.1016/0967-0661(94)90496-0,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
587,landscape_sweep,204 Robot motion planning ofr moving objects,1994,,Control Engineering Practice,10.1016/0967-0661(94)91831-7,https://doi.org/10.1016/0967-0661(94)91831-7,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
588,landscape_sweep,Intelligent Manipulation Robot in Micro and Nano meter World,1996,Tomomasa Sato; Hideki Miyazaki,Robotics Research,10.1007/978-1-4471-0765-1_66,https://doi.org/10.1007/978-1-4471-0765-1_66,0,robot planning control manipulation world model,Crossref,Advance embodied physical intelligence around: Intelligent Manipulation Robot in Micro and Nano meter World.,task-specific embodied learning mechanism,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
589,landscape_sweep,Intelligent Manipulation Robot in Micro and Nano meter World,1996,Tomomasa Sato; Hideki Miyazaki,Robotics Research,10.1007/978-1-4471-1021-7_66,https://doi.org/10.1007/978-1-4471-1021-7_66,0,robot planning control manipulation world model,Crossref,Advance embodied physical intelligence around: Intelligent Manipulation Robot in Micro and Nano meter World.,task-specific embodied learning mechanism,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
590,landscape_sweep,Integ rating Configuration Space and Sensor Space for Vision-based Robot M otion Planning,1997,,Algorithms for Robotic Motion and Manipulation,10.1201/9781439864524-11,https://doi.org/10.1201/9781439864524-11,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
591,landscape_sweep,Robot Task Planning,1999,Adam Morecki; Józef Knapczyk,Basics of Robotics,10.1007/978-3-7091-2532-8_12,https://doi.org/10.1007/978-3-7091-2532-8_12,0,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
592,landscape_sweep,Geometric Modeling for Robot Task Planning,2000,,Intelligent Systems and Robotics,10.1201/9781482283259-15,https://doi.org/10.1201/9781482283259-15,0,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
593,landscape_sweep,Input Shaping for Path Planning,2002,Rush D. Robinett; Clark R. Dohrmann; G. Richard Eisler; John T. Feddema; Gordon G. Parker; David G. Wilson; Dennis Stokes,Flexible Robot Dynamics and Controls,10.1007/978-1-4615-0539-6_5,https://doi.org/10.1007/978-1-4615-0539-6_5,0,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
594,landscape_sweep,Motion Planning of Humanoid Robot Arm for grasping task,2007,Altaf Hussain Rajpar; Mohammad Usman Keerio; Attaullah Kawaja,2007 International Conference on Emerging Technologies,10.1109/icet.2007.4516345,https://doi.org/10.1109/icet.2007.4516345,0,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
595,landscape_sweep,Robot Manipulation: Sensing and Adapting to the Real World,2008,Charles C. Kemp; Aaron Edsinger; Robert Platt; Neo Ee Sian,Robotics,10.7551/mitpress/7830.003.0042,https://doi.org/10.7551/mitpress/7830.003.0042,0,robot planning control manipulation world model,Crossref,Advance embodied physical intelligence around: Robot Manipulation: Sensing and Adapting to the Real World.,task-specific embodied learning mechanism,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
596,landscape_sweep,Dynamics and smooth trajectory planning of free floating space robot with zero-disturbance spacecraft attitude,2008,Fu Yili; Zhang Fuhai; Wang Shuguo,2008 27th Chinese Control Conference,10.1109/chicc.2008.4605824,https://doi.org/10.1109/chicc.2008.4605824,0,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
597,landscape_sweep,Model Reference Adaptive Control for Robotic Manipulation with Kalman Active Observers,2009,Rui Cortesao,Frontiers in Adaptive Control,10.5772/6428,https://doi.org/10.5772/6428,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
598,landscape_sweep,Trajectory Planning of Large Subassemblies Mergence with a Multi-Robot Coordinated Manipulation System,2010,Zhao-cai Du; Zou Fang,SAE Technical Paper Series,10.4271/2010-01-1856,https://doi.org/10.4271/2010-01-1856,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,"<jats:p>&lt;div class=""section abstract""&gt;&lt;div class=""htmlview paragraph""&gt;Based on the characteristics of huge and heavy aircraft blocks merging technology, the application of multi-robot coordination in a merging system for posture alignment is studied. Focusing on the fundamental theories and key technologies of multi-robot coordination system, the system architecture of multiple 3-DOF mobile robots, organization and posture coordinated manipulation method are proposed. By virtue of the blocks merging technology, the blocks' kinematic model is expressed as a body moving with limited linear displacement and rotating with small angular displacement. The coordinates transformation between basic block, merging block and single robot is achieved on the basis of large subassembly merging technology. The trajectory planning method of posture aligning by means of Denavit-Hartenberg method is presented. The proposed method incorporates the behavior of robots and experiences of aircraft blocks mergence into multi-robot coordination. Particular focus on the task complexity, the trajectory of robot joints is also presented after the establishment of relationship among the coordinate system of basis block, merging block and single robot. Measuring data are used to determine the posture of aircraft blocks and guide the process. The object-oriented control algorithm for cooperative multi-robot is derived. The algorithm accommodates various motion types, and controls the blocks motion as well as the result force and endogenous force at the same time. By using the redundancy of multi-robot coordination system and including the constraints of payload, driving force and driving velocity, the trajectory planning strategy of robots combining the endogenous force avoidance with the less energy consumption is achieved. Building a full physical experimental system composed of four 3-DOF mobile robots, a number of key technologies have been developed and integrated, such as trajectory planning, control and coordination strategies.&lt;/div&gt;&lt;/div&gt;</jats:p>"
599,landscape_sweep,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",2011,,,10.5772/2304,https://doi.org/10.5772/2304,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
600,landscape_sweep,Cooperative Formation Planning and Control of Multiple Mobile Robots,2011,R. M. Kuppan Chetty; M. Singaperumal; T. Nagaraj,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",10.5772/26596,https://doi.org/10.5772/26596,0,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
601,landscape_sweep,Spatial Path Planning of Static Robots Using Configuration Space Metrics,2012,Debanik Roy,"Serial and Parallel Robot Manipulators - Kinematics, Dynamics, Control and Optimization",10.5772/30652,https://doi.org/10.5772/30652,0,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,4,,
